lat,lon
-114.3839,51.1263
-114.3614,51.1082
-114.0905,51.0245
-114.0774,51.0172
-114.0853,51.0064
-114.0581,51.0468
-114.0905,51.0337
-114.0966,51.0398
-114.0966,51.0374
-114.0899,51.0366
-114.0828,51.0445
-114.0754,51.037
-114.0721,51.0435
-114.0739,51.0434
-114.1002,51.0231
-114.096,50.9669
-114.0842,50.9471
-114.2019,51.102
-114.1956,51.0901
-114.0519,51.0413
-114.0595,51.0321
-114.0684,51.0379
-114.1228,51.0107
-114.0639,51.0458
-73.5894,45.5135
-79.6905,43.7514
-73.5692,45.5079
-73.5716,45.5081
-70.8966,46.9989
-70.8437,46.9695
-71.2116,46.8106
-71.2128,46.8089
-71.2114,46.8122
-72.3939,46.0345
-72.2531,46.0929
-79.5344,43.6815
-73.6018,45.5036
-73.57,45.4952
-63.5637,44.8499
-63.5339,44.9348
-63.4002,45.0985
-63.422,45.3814
-63.7092,45.5436
-63.7413,45.6417
-63.7797,45.681
-63.9064,45.7168
-64.0638,45.7195
-64.1506,45.775
-64.1589,45.7882
-64.2423,45.8373
-64.2401,45.8421
-64.4216,45.9567
-64.4205,45.9602
-64.5877,46.0568
-64.6309,46.1104
-64.6885,46.1254
-64.7456,46.1267
-64.7866,46.1278
-64.8734,46.1293
-64.8813,46.1324
-64.9209,46.1116
-64.951,46.0647
-65.3411,45.9641
-65.2546,45.9708
-65.163,45.9742
-65.5288,45.9477
-65.8024,45.9424
-65.6371,45.9508
-66.1102,45.8315
-66.1805,45.8321
-66.3777,45.8572
-66.7536,45.9155
-66.8575,45.843
-67.1275,45.9149
-67.1964,45.9293
-67.4188,45.96
-67.4421,45.9718
-67.566,46.0578
-67.5352,46.0361
-63.5805,44.8309
-63.4188,45.1038
-63.2966,45.2634
-63.2972,45.2823
-63.3276,45.3373
-63.5905,45.433
-63.7192,45.4356
-64.2564,45.7926
-64.3361,45.8876
-64.2638,45.8609
-64.4005,45.9306
-64.7321,46.1236
-65.1416,45.9942
-65.3356,45.9609
-65.7304,45.9439
-65.8825,45.9412
-66.039,45.8613
-67.2258,45.9419
-64.3813,45.9233
-63.8501,45.7142
-63.4767,45.3785
-63.1926,45.411
-63.3397,45.1671
-63.5323,44.9073
-79.6022,43.5409
-123.0771,49.2888
-79.2538,43.782
-79.3581,43.6759
-79.0241,43.1225
-114.0788,51.0374
-79.7264,43.7649
-73.6151,45.5173
-73.6225,45.5103
-73.6554,45.5308
-73.6626,45.5197
-73.6081,45.5167
-73.6009,45.5082
-73.6023,45.5064
-78.8839,43.9355
-79.2531,43.7733
-79.2593,43.7781
-73.6189,45.5061
-73.6662,45.5076
-73.6031,45.5201
-73.5947,45.5138
-73.259,45.307
-73.5723,45.442
-79.2929,43.7266
-124.1632,49.2953
-79.2767,43.7685
-79.2818,43.7658
-73.6008,45.5022
-73.6105,45.5098
-73.6916,45.4977
-79.0447,43.0783
-79.0382,43.0664
-71.2157,46.8076
-73.6696,45.4909
-73.5727,45.5
-73.5654,45.516
-73.6724,45.4057
-113.5304,53.381
-80.5735,43.4672
-73.565,45.5175
-80.3989,43.2004
-112.8632,49.4333
-81.6121,43.4277
-81.6989,43.743
-81.5242,43.5837
-81.7061,43.7353
-66.662,45.9311
-82.9134,42.0003
-79.6931,43.2308
-79.7527,43.7811
-113.5106,53.5124
-80.5195,43.9875
-76.689,44.8072
-79.793,43.2453
-81.5671,45.2126
-68.8647,47.6642
-64.7447,46.5207
-79.9201,43.2096
-81.4051,45.1557
-113.5388,53.4151
-80.2381,44.2406
-79.7182,43.7469
-83.0284,42.2976
-82.576,42.0159
-80.3256,44.3914
-80.5314,43.4625
-80.7787,43.5183
-80.4409,43.4241
-97.221,49.9057
-67.5702,46.3166
-79.9976,43.2818
-80.4189,43.4209
-79.6161,43.5262
-123.697,48.7785
-114.1238,50.9986
-76.7124,44.7954
-78.412,43.9487
-114.1434,51.0189
-67.6825,46.4915
-67.6645,46.4343
-79.189,43.7631
-64.4931,46.2105
-81.7031,43.3329
-113.5378,53.559
-69.5564,47.8312
-80.2918,43.4774
-113.4376,53.346
-80.5095,43.5372
-80.2566,43.5157
-68.6052,47.5366
-71.2583,48.4506
-69.9112,47.4255
-80.4716,43.4959
-75.6539,45.4246
-80.4647,43.6829
-80.6901,43.5913
-79.7987,43.2396
-80.4473,43.315
-78.9098,42.8912
-79.5547,43.7451
-80.3759,44.5294
-78.1211,44.0029
-80.5284,43.8263
-82.5795,42.0155
-79.8188,43.2536
-79.5504,43.7693
-81.3173,48.4808
-67.732,46.697
-64.9667,46.7006
-79.3989,43.6601
-80.301,43.472
-67.6727,46.4756
-80.5177,43.4527
-80.5283,43.4779
-63.459,45.032
-113.4998,53.4619
-80.2239,44.4701
-79.3931,43.6635
-73.2875,45.4396
-80.3392,43.6733
-73.5881,45.4509
-80.27,43.5834
-114.1403,51.0219
-80.5298,43.6242
-80.2815,43.5238
-79.174,43.7736
-66.6776,45.8657
